words
TOEIC
TOEFL
TEPS
토익
토플
텝스
HSK
JPT
JLPT
일본어능력시험
DELF
DALF
ZD
TESTDAF
DSH
DSD
TORFL
DELE
상공회의소한자시험
한자능력검정
실용한자
한자급수자격검정
YBM
YBM 상무한검
한자급수인증시험
한자자격검정
K-MOOC
MOOC
KOCW
모의고사
모의 고사
교내고사
교내 고사
전국연합학력평가
논문
소논문
연구보고서
특허
실용신안
상표
지식재산권
대회
표창장
감사장
공로상
교외상
어학연수
해외활동
봉사활동
장학생
장학금
대학교
논문 발표
학회지
투고
학회지 투고
도서 출간
출간
출판
교내외 인증시험
교외 기관
자격증
해외 자격증
학원수업
개인 과외
교습소 성적
방과후
방과후학교
방과후 학교
학회 발표
대회 참가
영재교육
발명교육
특목고
자사고
해외
해외 대학
해외 취업
해외여행
해외 여행
해외봉사
해외 봉사
외국여행
외국 여행
외국대학
외국 대학
ATP
VR
ESG
ESG경영
Google
구글
NAVER
네이버
Daum
Google Classroom
클래스룸
구글 클래스룸
EBS
EBS 온라인클래스
TikTok
틱톡
Gather Town
개더타운
ZEPETO
제페토
miricanvas
미리캔버스
mangoboard
망고보드
Canva
캔바
Google TV
구글 티비
YouTube
유튜브
TVING
티빙
watcha
왓챠
netflix
넷플릭스
wavve
웨이브
OTT
오티티
disney
disneyplus
디즈니
디즈니+
디즈니플러스
Vllo
블로
Premiere Pro
프리미어 프로
Final Cut Pro
파이널 컷 프로
프리미어
Premiere 
파이널 컷
파이널컷
Final Cut
브이로그
classting
클래스팅
YouTuber
유튜버
KakaoTalk
카카오톡
카톡
Instagram
인스타그램
인스타
LINE
Twitter
트위터
Meta
메타
Facebook
페이스북
ifland
이프랜드
Padlet
패들렛
ThinkerBell
띵커벨
Allo
알로
Kahoot
카훗
Mentimeter
멘티미터
Google Docs
구글문서
careernet
커리어넷
majormap
메이저맵
워크넷
Holland
홀랜드
KTX
케이티엑스
SRT
에스알티
기상청
UN
유엔
EU
유럽연합
WHO
세계보건기구
WTO
세계무역기구
OECD
경제협력개발기구
IMF
국제통화기금
UNESCO
유네스코
IAEA
국제원자력기구
NATO
북대서양조약기구
ZOOM
웨일온
MBTI
엠비티아이
HTML
에이치티엠엘
CSS
씨에스에스
iPad
아이패드
Galaxy Tab
갤럭시탭
갤럭시
Chrome
크롬
chrome book
크롬북
Chat GPT
챗지피티
챗GPT
ChatGPT
wrtn
뤼튼
bing Chat
빙챗
코파일럿
copilot
바드
하이퍼클로버X
Altcoin
알트코인
알트 코인
Bitcoin
비트코인
비트 코인
코랩
Colab
아이폰
TED
테드
애플
삼성
Samsung
HWP
MS워드
마이크로소프트
인텔
Intel
한컴
한컴오피스
한글과컴퓨터
엑셀
한셀
김프
GIMP
페인트샵
을 이해함
를 이해함
을 알게 됨
를 알게 됨
을 알게됨
를 알게됨
을 생각함
를 생각함
을 생각해 봄
를 생각해 봄
을 생각해봄
를 생각해봄
을 느낌
를 느낌
를 깨달음
을 깨달음
를 깨달았음
을 깨달았음
어머니
아버지
엄마
아빠
부모님
할아버지
할머니
‘
“
’
”
**
•
:
<
>
—
`
영재학급
영재 학급
외국
